name,type,role,formal_authority,budget_authority,agenda_setting,veto_risk,coalition_value,narrative_influence,timing_sensitivity,current_stance,notes
SFMTA Board of Directors,agency,Approves fare policy and provides policy oversight for Muni,5,3,4,4,4,3,High during budget adoption and fare hearings,unknown,Direct formal actor on fare policy. Official board page says it provides policy oversight for Muni. Source: https://www.sfmta.com/units/board-directors
SFMTA Director of Transportation,individual,Leads agency strategy and public budget/fare proposals,4,3,5,3,3,4,High during budget development and public outreach,unknown,Agency leadership shapes what options are presented first. Julie Kirschbaum has publicly presented budget and revenue options. Source: https://www.sfcta.org/blogs/updates-regional-transportation-revenue-measure-and-muni-parcel-tax
Mayor of San Francisco,elected,City executive; forwards SFMTA budget and can veto appropriations,4,5,5,5,5,5,Very high around budget deadlines and ballot decisions,unknown,Charter gives Mayor major leverage over appropriations and budget presentation. Source: https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_charter/0-0-0-920
San Francisco Board of Supervisors,elected,City legislative body with budget rejection/override power and major agenda-setting capacity,4,5,5,4,5,4,Very high during budget season and ballot-measure placement,neutral,Critical funding gatekeeper; some members will be more pro-transit than others. Source: https://www.sf.gov/budget-process-documents-for-fiscal-years-2026-2027
Board of Supervisors Budget and Appropriations Committee,elected,Filters city budget details before full Board action,3,5,4,3,4,3,Very high during hearings,unknown,Operational choke point for budget negotiations even if not the final adopting body.
San Francisco Controller's Office,agency,Convened/facilitated the Muni Funding Working Group and shapes fiscal framing,2,2,4,2,3,4,High when deficit framing and options are published,neutral,Important credibility actor for what counts as fiscally serious. Source: https://www.sfmta.com/projects/muni-funding-working-group
San Francisco County Transportation Authority,agency,Transit funding policy body and venue for local/regional revenue strategy,3,4,4,3,4,3,High leading into 2026 regional/local revenue measures,supportive,Key institutional vehicle for advancing revenue proposals. Source: https://www.sfcta.org/blogs/updates-regional-transportation-revenue-measure-and-muni-parcel-tax
Metropolitan Transportation Commission,agency,Regional funding and coordination body administering bridge-loan and regional transit strategy,3,5,4,3,4,3,High during regional-measure design and loan administration,supportive,Important because MTC administers regional funding structures and the emergency loan. Source: https://mtc.ca.gov/news/governor-signs-bill-authorizing-loan-bay-area-transit-agencies
Governor/CalSTA,agency,State executive actors able to structure bridge finance and shape transit legislation,3,4,3,3,3,4,Medium; high when emergency state actions are needed,supportive,"The 2026 loan showed state willingness to prevent service collapse, but not to permanently backfill local operations. Source: https://www.gov.ca.gov/2026/02/19/governor-newsom-signs-legislation-authorizing-590-million-emergency-loan-to-bay-area-transit/"
Transit riders and rider coalitions,coalition,Direct users; public-comment base; can legitimize or delegitimize policy sequencing,1,1,3,1,5,4,High when cuts or fare increases are proposed,neutral,Riders often support affordability but can oppose fare-free proposals if they fear service degradation first.
Youth advocates and school/community organizations,coalition,Natural base for expanding an already existing youth-access frame,1,1,3,1,4,4,Medium to high when school access and youth mobility are salient,supportive,Youth Free Muni gives these groups a strong local precedent.
Senior and disability advocates,coalition,"Can argue from mobility justice, ADA access, and existing Free Muni precedents",1,1,3,1,4,4,Medium,supportive,Particularly influential if proposal is targeted before universal.
Transit labor unions,coalition,"Represent operators and workers affected by service, enforcement, and staffing choices",1,1,3,2,5,4,High when service cuts or layoffs are on the table,unknown,Could support access expansion if paired with service protection; could resist if fare-free is seen as competing with staffing or reliability.
Downtown/business groups,business,Influence citywide economic narrative and ballot coalitions,1,1,3,2,4,4,High if tax measures affect commercial property or business climate narratives,neutral,May support transit stabilization but resist parcel taxes or broad new levies.
SPUR and policy think-tank voices,coalition,Shape elite-policy conversation on transit funding and reform,1,1,3,1,3,4,Medium,supportive,Often important for making proposals sound serious to staff and media audiences.
Local media and editorial boards,media,"Amplify viability frame, fiscal skepticism, or access narrative",1,1,3,1,2,5,High during ballot and budget fights,unknown,Narrative influence is large even though formal power is low.
