title,type,author,date,url,summary
SFMTA Budget Planning - FY 2026-27 and FY 2027-28,government,San Francisco Municipal Transportation Agency,2026-04-21,https://www.sfmta.com/projects/sfmta-budget-planning-fy-2026-27-and-fy-2027-28,"Official budget-planning page describing the FY26-27/FY27-28 process, SFMTA Board approval timeline, Mayor/BOS budget path, and proposed fare/fee changes."
The SFMTA's Financial Crisis,government,San Francisco Municipal Transportation Agency,2026-01-01,https://www.sfmta.com/project-updates/sfmtas-financial-crisis,Official SFMTA explanation of the structural deficit and examples of what major cuts could look like if no new funding is secured.
Community Input on SFMTA's Budget: Join an Upcoming Open House,government,San Francisco Municipal Transportation Agency,2026-02-25,https://www.sfmta.com/blog/community-input-sfmtas-budget-join-upcoming-open-house,Community-feedback summary stating SFMTA had already achieved internal savings/efficiencies and highlighting strong public desire to protect service.
Muni Funding Working Group,government,San Francisco Municipal Transportation Agency,2025-07-15,https://www.sfmta.com/projects/muni-funding-working-group,"Project page describing the Working Group process, participating institutions, policy options considered, and six final packages."
Muni Funding Working Group Final Report,report,San Francisco Controller's Office,2025-07-15,https://media.api.sf.gov/documents/Muni_Funding_Working_Group_Final_Report_9n2cEn7.pdf,"Controller's Office report summarizing the working group's recommendations and the mix of service cuts, efficiencies, funding options, and packages considered."
Updates on Regional Transportation Revenue Measure and Muni Parcel Tax,government,San Francisco County Transportation Authority,2026-02-26,https://www.sfcta.org/blogs/updates-regional-transportation-revenue-measure-and-muni-parcel-tax,"Official SFCTA update describing the proposed regional sales tax, local parcel tax, and estimated annual revenue to help close Muni's deficit."
Budget Process Documents for Fiscal Years 2026 & 2027,government,City and County of San Francisco,2025-05-30,https://www.sf.gov/budget-process-documents-for-fiscal-years-2026-2027,Official city budget-process page for FY26/FY27 with proposed budget documents and timing.
San Francisco Charter - Veto of Appropriations,government,City and County of San Francisco,2026-01-01,https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_charter/0-0-0-920,"Charter section stating that the Mayor may reduce or reject expenditures adopted by the Board of Supervisors, subject to a two-thirds override."
Board of Directors,government,San Francisco Municipal Transportation Agency,2026-01-01,https://www.sfmta.com/units/board-directors,Official SFMTA Board page describing the Board's policy-oversight role over Muni and other transportation functions.
Free Muni for All Youth (18 years and younger),government,San Francisco Municipal Transportation Agency,2026-01-01,https://www.sfmta.com/fares/free-muni-all-youth-18-years-and-younger,Official Free Muni for Youth page: all youth 18 and under can ride regular Muni for free regardless of income or residency.
